Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
NuGet.0005,El paquete NuGet está en desuso,Active,Optional,1,backend\backend.csproj,File,backend\backend.csproj,,,MediatR.Extensions.Microsoft.DependencyInjection 11.1.0,,,,,"MediatR.Extensions.Microsoft.DependencyInjection, 11.1.0  Recomendación:  This package is no longer maintained and its functionality is folded into the main MediatR package. Remove MediatR.Extensions.Microsoft.DependencyInjection, and replace with new package MediatR.Extensions.Microsoft.DependencyInjection, 11.1.0"
NuGet.0005,El paquete NuGet está en desuso,Active,Optional,1,backend\backend.csproj,File,backend\backend.csproj,,,Microsoft.AspNetCore.Mvc.Versioning 5.1.0,,,,,"Microsoft.AspNetCore.Mvc.Versioning, 5.1.0  Recomendación:  A newer package is available as of August 2022. While this package will continue to receive critical bug fixes, we strongly encourage you to upgrade. See the migration guide at https://github.com/dotnet/aspnet-api-versioning/wiki/Migration for more details. Remove Microsoft.AspNetCore.Mvc.Versioning, and replace with new package Microsoft.AspNetCore.Mvc.Versioning, 5.1.0"
NuGet.0005,El paquete NuGet está en desuso,Active,Optional,1,backend\backend.csproj,File,backend\backend.csproj,,,Microsoft.AspNetCore.Mvc.Versioning.ApiExplorer 5.1.0,,,,,"Microsoft.AspNetCore.Mvc.Versioning.ApiExplorer, 5.1.0  Recomendación:  A newer package is available as of August 2022. While this package will continue to receive critical bug fixes, we strongly encourage you to upgrade. See the migration guide at https://github.com/dotnet/aspnet-api-versioning/wiki/Migration for more details. Remove Microsoft.AspNetCore.Mvc.Versioning.ApiExplorer, and replace with new package Microsoft.AspNetCore.Mvc.Versioning.ApiExplorer, 5.1.0"
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,backend\backend.csproj,File,backend\backend.csproj,,,,,,,,Marco de destino actual: net9.0 Marco de destino recomendado: net10.0
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,backend.Tests\backend.Tests.csproj,File,backend.Tests\backend.Tests.csproj,,,Microsoft.EntityFrameworkCore.InMemory 9.0.8,,,,,"Microsoft.EntityFrameworkCore.InMemory, 9.0.8  Recomendación:  Remove Microsoft.EntityFrameworkCore.InMemory, and replace with new package Microsoft.EntityFrameworkCore.InMemory 10.0.3"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,backend.Tests\backend.Tests.csproj,File,backend.Tests\backend.Tests.csproj,,,Microsoft.AspNetCore.Mvc.Testing 9.0.8,,,,,"Microsoft.AspNetCore.Mvc.Testing, 9.0.8  Recomendación:  Remove Microsoft.AspNetCore.Mvc.Testing, and replace with new package Microsoft.AspNetCore.Mvc.Testing 10.0.3"
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,backend.Tests\backend.Tests.csproj,File,backend.Tests\backend.Tests.csproj,,,,,,,,Marco de destino actual: net9.0 Marco de destino recomendado: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,backend.Tests\backend.Tests.csproj,File,backend.Tests\Integration\DestinationsControllerIntegrationTests.cs,305,12,T:System.Net.Http.HttpContent,,,,,var result = await response.Content.ReadFromJsonAsync<PagedResultDto<DestinationDto>>();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,backend.Tests\backend.Tests.csproj,File,backend.Tests\Integration\DestinationsControllerIntegrationTests.cs,289,12,T:System.Net.Http.HttpContent,,,,,var result = await response.Content.ReadFromJsonAsync<PagedResultDto<DestinationDto>>();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,backend.Tests\backend.Tests.csproj,File,backend.Tests\Integration\DestinationsControllerIntegrationTests.cs,273,12,T:System.Net.Http.HttpContent,,,,,var result = await response.Content.ReadFromJsonAsync<PagedResultDto<DestinationDto>>();
